,Budget,Countries,Counts,Downloads,IMDB_ID,Ratings,Titles
15445,"$1,200,000",[USA],1,475,tt1231285,7.4,400 Years of the Telescope (2009)
15446,NaN,[Italy],1,142,tt0042477,7.6,"Francesco, giullare di Dio (1950)"
15447,NaN,"[USA, Canada]",1,118,tt0330171,5.1,Control Factor (TV Movie 2003)
15448,NaN,[Hungary],1,605,tt0062962,7.0,Fejlövés (1968)
15449,NaN,[Hungary],2,725,tt0062963,6.8,Feldobott kö (1969)
15450,NaN,[France],1,227,tt1852006,7.2,Les neiges du Kilimandjaro (2011)
15451,"$14,000,000","[UK, Germany, France, South Africa]",3,2509,tt0367478,5.8,Wake of Death (2004)
15452,"$58,000,000",[USA],5,4722,tt0367479,6.3,After the Sunset (2004)
15453,NaN,[China],1,168,tt2371411,6.3,Hua pi 2 (2012)
15454,NaN,[UK],2,3958,tt1362058,5.9,Cockneys vs Zombies (2012)
15455,NaN,[USA],1,801,tt0103812,4.5,The Bikini Carwash Company (1992)
15456,"$8,000,000","[Germany, USA]",3,3320,tt0243991,4.7,Intimate Affairs (2002)
15457,NaN,[Australia],1,1778,tt0995851,6.5,In Her Skin (2009)
15458,NaN,"[India, South Africa]",3,11320,tt0995857,4.4,Mr. Bones 2: Back from the Past (2008)
15459,"$650,000",[USA],2,324,tt1799508,5.5,After (2012)
15460,NaN,[],1,25,tt1447347,7.3,"""Mickey Mouse Clubhouse"" Choo Choo Express (TV Episode 2009)"
15461,NaN,"[UK, Germany]",2,658,tt0106339,6.7,Backbeat (1994)
